City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
272,Port Keats,AU,82.4,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
273,Pathein,MM,75.72,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
274,Katobu,ID,75.13,overcast clouds,-4.9408,122.5276,La Ode Husein
279,Meulaboh,ID,75.22,moderate rain,4.1363,96.1285,Kost Pria
292,Comodoro Rivadavia,AR,75.06,few clouds,-45.8667,-67.5,Austral Hotel
294,Merauke,ID,79.25,overcast clouds,-8.4667,140.3333,
295,Benjamin Constant,BR,87.93,few clouds,-4.3831,-70.0311,CASA AVALIADA
299,Bell Ville,AR,89.8,few clouds,-32.6259,-62.6887,Hotel Central
304,Umm Lajj,SA,83.53,clear sky,25.0213,37.2685,Moon light Furnished Units
308,Fare,PF,78.1,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
314,Hobyo,SO,79.74,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
321,Kailua,US,84.07,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
322,Delta Del Tigre,UY,84.61,clear sky,-34.7633,-56.3853,FINCA SUAREZ
323,Pemangkat,ID,77.43,overcast clouds,1.1667,108.9667,Ramah Kost KITA
325,Acapulco,MX,87.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
329,Port Moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
332,Tahta,EG,78.24,overcast clouds,26.7693,31.5021,مصطفي عساف
334,Kandrian,PG,79.05,light rain,-6.2167,149.55,Kandrian Station
338,Daru,PG,81.82,overcast clouds,-9.0763,143.2092,Daru Lodge
339,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
341,Akyab,MM,78.57,few clouds,20.15,92.9,Hotel Memory
343,Bubaque,GW,83.39,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
348,Cozumel,MX,84.27,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
354,Ewa Beach,US,84.02,broken clouds,21.3156,-158.0072,Uncle Junior Robert
355,Tual,ID,83.8,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
361,Padang,ID,77.61,overcast clouds,-0.9492,100.3543,Mercure Padang
362,Isangel,VU,80.71,clear sky,-19.55,169.2667,Tanna Lodge
363,Gigmoto,PH,79.65,clear sky,13.7796,124.39,Cj's Travellers Inn
364,Lingao,CN,75.15,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
367,Santa Maria,BR,78.1,clear sky,-29.6842,-53.8069,Hotel Morotin
370,Ndjole,GA,76.28,overcast clouds,-0.1783,10.7649,Motel Kédyann
382,Jensen Beach,US,84.25,scattered clouds,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
383,Waw,SS,79.75,broken clouds,7.7029,27.9953,Universal Gab Hotel
387,Sarangani,PH,83.84,scattered clouds,5.4033,125.4636,Ballistic Islet
392,Laguna,US,80.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
396,Maningrida,AU,78.17,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
398,Xicotencatl,MX,89.2,clear sky,23.0167,-98.8833,Misioneros Vázquez Mireles
402,Riachao Do Jacuipe,BR,77.38,scattered clouds,-11.8069,-39.3856,Riachão Palace Hotel
403,Manta,EC,83.98,clear sky,-0.95,-80.7333,Balandra Hotel
407,General Roca,AR,88.63,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
409,Wagar,SD,84.38,clear sky,16.1525,36.2032,
410,Tayu,ID,79.83,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
414,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
420,La Pintada,CO,84.34,overcast clouds,5.7487,-75.6063,Hotel Real Dinastia
