City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Ilave,PE,-16.0833,-69.6667,57.22,38,17,12.55,few clouds
80,Kavieng,PG,-2.5744,150.7967,83.39,74,93,8.61,light rain
81,Yaguajay,CU,22.3272,-79.2378,83.77,75,100,13.71,overcast clouds
82,Anadyr,RU,64.75,177.4833,-1.7,84,40,4.47,light snow
83,Salym,RU,60.0625,71.4789,21.45,79,100,14.85,overcast clouds
84,Sakakah,SA,29.9697,40.2064,72.59,23,36,8.28,scattered clouds
85,Kletskaya,RU,49.3145,43.0584,42.26,74,6,1.63,clear sky
86,Severo-Kurilsk,RU,50.6789,156.125,42.33,95,100,7.43,overcast clouds
87,Lompoc,US,34.6391,-120.4579,85.14,61,1,6.91,clear sky
88,Hithadhoo,MV,-0.6,73.0833,83.21,74,100,13.27,overcast clouds
89,Mokrousovo,RU,55.8103,66.7653,24.69,69,0,8.41,clear sky
90,Nikolskoye,RU,59.7035,30.7861,52.88,86,100,7.96,overcast clouds
91,Hobart,AU,-42.8794,147.3294,48.11,72,75,1.01,broken clouds
92,Kapaa,US,22.0752,-159.319,80.58,84,40,1.99,scattered clouds
93,Yaan,NG,7.3833,8.5667,80.01,63,97,4,overcast clouds
94,Karratha,AU,-20.7377,116.8463,69.98,29,0,11.72,clear sky
95,Taltal,CL,-25.4,-70.4833,66.7,61,22,5.84,few clouds
96,Cassino,IT,41.4876,13.8315,59.52,60,100,1.01,overcast clouds
97,Mar Del Plata,AR,-38.0023,-57.5575,66.22,93,0,14,clear sky
98,Mount Isa,AU,-20.7333,139.5,74.97,33,100,12.66,overcast clouds
99,San Patricio,US,28.017,-97.5169,82.81,14,0,18.52,clear sky
100,Namatanai,PG,-3.6667,152.4333,82.18,71,85,6.6,overcast clouds
101,Marana,US,32.4367,-111.2254,92.77,11,1,0,clear sky
102,Nemuro,JP,43.3236,145.575,48.29,75,91,18.32,overcast clouds
103,Murakami,JP,38.2333,139.4833,52.25,83,83,2.55,broken clouds
104,Touros,BR,-5.1989,-35.4608,79.7,74,13,17.58,few clouds
105,Richards Bay,ZA,-28.783,32.0377,67.95,85,100,15.08,light rain
106,Bredasdorp,ZA,-34.5322,20.0403,60.28,90,8,7.58,clear sky
107,Oranjemund,NA,-28.55,16.4333,59.99,84,0,7.74,clear sky
108,Bengkulu,ID,-3.8004,102.2655,75.36,91,96,3.87,overcast clouds
109,Ballina,AU,-28.8667,153.5667,77.77,76,85,9.55,overcast clouds
110,Umm Kaddadah,SD,13.6017,26.6876,84.04,13,61,11.07,broken clouds
111,Sibolga,ID,1.7427,98.7792,77.31,88,84,3.47,broken clouds
112,Bahia Blanca,AR,-38.7196,-62.2724,97.27,15,6,13.33,clear sky
113,Kaitangata,NZ,-46.2817,169.8464,59.52,71,81,10.54,broken clouds
114,Tiksi,RU,71.6872,128.8694,7.3,95,99,6.04,overcast clouds
115,Vestmannaeyjar,IS,63.4427,-20.2734,45.72,83,99,16.96,overcast clouds
116,Torbay,CA,47.6666,-52.7314,41.58,93,100,4,overcast clouds
117,Norman Wells,CA,65.282,-126.8329,26.17,92,100,5.41,overcast clouds
118,Zhezkazgan,KZ,47.8043,67.7144,35.47,47,82,8.05,broken clouds
119,Lianran,CN,24.9227,102.485,54.91,98,49,3,scattered clouds
120,Staryy Nadym,RU,65.6118,72.6842,16.83,94,100,26.31,light snow
121,Ipira,BR,-12.1583,-39.7372,77.5,50,71,15.59,broken clouds
122,Chuy,UY,-33.6971,-53.4616,68.23,79,0,13.49,clear sky
123,Bintulu,MY,3.1667,113.0333,76.55,92,100,2.66,overcast clouds
124,Kodiak,US,57.79,-152.4072,38.71,87,90,25.32,moderate rain
125,Xining,CN,36.6167,101.7667,36.12,55,2,2.26,clear sky
126,Namibe,AO,-15.1961,12.1522,66.42,83,54,4.63,broken clouds
127,Margate,GB,51.3813,1.3862,55.31,77,94,1.01,overcast clouds
128,Teplodar,UA,46.5059,30.3252,46.04,76,0,6.31,clear sky
129,Alofi,NU,-19.0595,-169.9187,76.64,60,93,19.55,overcast clouds
130,Petrozavodsk,RU,61.7849,34.3469,46.87,88,99,12.17,overcast clouds
131,Stornoway,GB,58.2093,-6.3865,54.93,100,100,6.91,overcast clouds
132,Codrington,AU,-38.2667,141.9667,45.36,78,62,9.31,broken clouds
133,Port Hardy,CA,50.6996,-127.4199,47.8,65,9,16.42,clear sky
134,Beloha,MG,-25.1667,45.05,63.27,65,2,13.62,clear sky
135,Monroe,US,43.1501,-77.6831,53.91,77,90,9.22,light rain
136,Yellowknife,CA,62.456,-114.3525,33.42,97,98,1.99,overcast clouds
137,Fairbanks,US,64.8378,-147.7164,22.96,89,90,4.61,mist
138,San Andres,CO,12.5847,-81.7006,86.02,70,75,4.61,broken clouds
139,Coahuayana,MX,18.7333,-103.6833,89.08,71,55,4.83,broken clouds
140,Asau,RO,46.4333,26.4,41.92,91,3,1.25,clear sky
141,Sitka,US,57.0531,-135.33,42.69,81,75,5.75,light rain
142,Noumea,NC,-22.2763,166.4572,75.18,99,35,6.55,scattered clouds
143,Tobermory,CA,45.2501,-81.6665,54.3,78,100,20.45,overcast clouds
144,Geraldton,AU,-28.7667,114.6,46.81,87,0,8.05,clear sky
145,Trinidad,BO,-14.8333,-64.9,92.97,41,85,5.03,overcast clouds
146,Aripuana,BR,-9.1667,-60.6333,86.31,55,98,0.16,overcast clouds
147,Pontes E Lacerda,BR,-15.2261,-59.3353,73.13,85,91,6.55,heavy intensity rain
148,Reconquista,AR,-29.15,-59.65,97.29,19,98,9.42,overcast clouds
149,Olinda,BR,-8.0089,-34.8553,80.33,65,75,13.8,broken clouds
150,Shizunai,JP,42.3339,142.3669,43.9,76,0,6.64,clear sky
151,Dunedin,NZ,-45.8742,170.5036,54.84,91,89,13.35,overcast clouds
152,Antofagasta,CL,-23.65,-70.4,61.88,67,4,5.61,clear sky
153,Victor Harbor,AU,-35.5667,138.6167,52,70,27,4.25,scattered clouds
154,Butaritari,KI,3.0707,172.7902,83.7,69,14,17.07,few clouds
155,Hasaki,JP,35.7333,140.8333,43.2,56,0,4.43,clear sky
156,San Jeronimo,PE,-11.9472,-75.2829,58.05,62,98,8.32,overcast clouds
157,Georgetown,MY,5.4112,100.3354,80.53,90,20,6.91,few clouds
158,Bam,IR,29.106,58.357,66.31,27,98,0.98,overcast clouds
159,Carlsbad,US,33.1581,-117.3506,93.87,48,1,1.99,clear sky
160,Soria,ES,41.6667,-2.6667,49.86,91,100,10,overcast clouds
161,Ust-Nera,RU,64.5667,143.2,-0.76,100,100,3.91,overcast clouds
162,Kendari,ID,-3.945,122.4989,75.15,92,65,1.63,broken clouds
163,Guerrero Negro,MX,27.9769,-114.0611,82.69,34,0,10.13,clear sky
164,Videira,BR,-27.0083,-51.1517,68.18,84,68,4.74,light rain
165,Chapayeve,UA,49.3662,35.8749,37.22,80,1,6.02,clear sky
166,Pacasmayo,PE,-7.4006,-79.5714,67.62,75,62,15.82,broken clouds
167,Tsiroanomandidy,MG,-18.7667,46.0333,69.91,66,76,2.91,broken clouds
168,Saint-Francois,FR,46.4154,3.9054,60.24,64,0,12.66,clear sky
169,Tasiilaq,GL,65.6145,-37.6368,26.76,75,84,5.39,broken clouds
170,Cayenne,GF,4.9333,-52.3333,84.24,77,48,3,scattered clouds
171,Berlevag,NO,70.8578,29.0864,39.2,87,20,18.41,light rain
172,Nouadhibou,MR,20.931,-17.0347,69.24,79,96,17.9,overcast clouds
173,Mangan,IN,27.5167,88.5333,60.15,54,1,6.42,clear sky
174,Bathsheba,BB,13.2167,-59.5167,83.01,65,20,13.8,few clouds
175,Pinega,RU,64.7001,43.3936,34.54,99,100,8.21,overcast clouds
176,Omboue,GA,-1.5746,9.2618,77.32,90,89,5.46,overcast clouds
177,Nome,US,64.5011,-165.4064,26.67,86,90,18.41,light snow
178,Paamiut,GL,61.994,-49.6678,32.68,90,88,8.86,overcast clouds
179,Bilma,NE,18.6853,12.9164,82.45,16,19,6.73,few clouds
180,Provideniya,RU,64.3833,-173.3,11.43,73,75,2.73,broken clouds
181,Sabha,LY,27.0377,14.4283,69.17,32,28,7.02,scattered clouds
182,Sokna,NO,60.24,9.9235,50.5,95,100,3.15,overcast clouds
183,Nhulunbuy,AU,-12.2333,136.7667,75.81,88,61,0,broken clouds
184,Kirakira,SB,-10.4544,161.9205,82.76,78,68,11.7,broken clouds
185,Borgarnes,IS,64.5383,-21.9206,44.65,79,99,10.76,overcast clouds
186,Pevek,RU,69.7008,170.3133,-2.16,95,98,3.6,overcast clouds
187,Fortuna,US,40.5982,-124.1573,66.92,65,75,1.99,broken clouds
188,Leningradskiy,RU,69.3833,178.4167,-12.05,93,22,5.23,few clouds
189,Zhigansk,RU,66.7697,123.3711,-7.73,100,98,1.07,overcast clouds
190,Gbely,SK,48.718,17.1163,53.28,58,10,15.9,clear sky
191,Duncan,US,34.5023,-97.9578,70.02,15,1,24.16,clear sky
192,Segou,ML,13.4317,-6.2157,85.44,46,100,10.63,overcast clouds
193,Kulu,TR,39.0951,33.0799,45.61,65,6,8.34,clear sky
194,Iquique,CL,-20.2208,-70.1431,64.44,71,45,6.82,scattered clouds
195,Waipawa,NZ,-41.4122,175.5153,60.46,71,81,4.09,broken clouds
196,Arkhara,RU,49.4212,130.0842,37.45,72,100,5.44,overcast clouds
197,Nacala,MZ,-14.5428,40.6728,72.32,66,5,6.17,clear sky
198,Port Hawkesbury,CA,45.6169,-61.3485,49.59,87,1,5.99,clear sky
199,Olafsvik,IS,64.8945,-23.7142,40.93,93,100,28.79,overcast clouds
200,Belaya Gora,RU,68.5333,146.4167,2.3,97,100,3.58,overcast clouds
201,Portland,US,45.5234,-122.6762,59.45,76,40,1.99,scattered clouds
202,San Quintin,MX,30.4833,-115.95,74.68,50,0,9.64,clear sky
203,Betong,TH,5.7743,101.0723,72.41,99,36,1.5,scattered clouds
204,Puerto Madryn,AR,-42.7692,-65.0385,73.51,31,65,15.82,broken clouds
205,Marfino,RU,55.7028,37.3822,50.25,80,90,15.66,overcast clouds
206,Carnarvon,AU,-24.8667,113.6333,64.47,72,0,13.8,clear sky
207,Macas,EC,-2.3167,-78.1167,78.55,57,20,8.05,light rain
208,Sept-Iles,CA,50.2001,-66.3821,45.3,52,0,0.89,clear sky
209,Inhambane,MZ,-23.865,35.3833,70.05,67,47,11.21,scattered clouds
210,Sao Filipe,CV,14.8961,-24.4956,79.56,74,70,11.32,broken clouds
211,Bambanglipuro,ID,-7.95,110.2833,77.29,89,99,3.89,moderate rain
212,Darhan,MN,49.4867,105.9228,27.72,53,0,4.63,clear sky
213,Kattivakkam,IN,13.2167,80.3167,77.09,76,100,4.47,light rain
214,Tadine,NC,-21.55,167.8833,73.72,70,28,8.41,scattered clouds
215,Yabassi,CM,4.457,9.9682,75.04,99,100,0.69,light rain
216,Rio Gallegos,AR,-51.6226,-69.2181,53.65,24,75,26.46,broken clouds
217,Galbshtadt,RU,53.2264,78.9845,39.78,54,100,15.23,overcast clouds
218,Hami,CN,42.8,93.45,48.76,41,7,4.29,clear sky
219,Bonavista,CA,48.6499,-53.1147,41.11,83,100,14.07,overcast clouds
220,Kloulklubed,PW,7.0419,134.2556,84.07,76,100,16.73,overcast clouds
221,Hofn,IS,64.2539,-15.2082,44.19,86,100,13.09,overcast clouds
222,Gornopravdinsk,RU,60.05,69.9,20.16,81,92,12.88,overcast clouds
223,Beringovskiy,RU,63.05,179.3167,12.52,86,100,2.93,overcast clouds
224,Meridian,US,43.6121,-116.3915,74.71,42,1,3,clear sky
225,Maarianhamina,AX,60.0973,19.9348,44.46,93,75,6.91,broken clouds
226,Nantucket,US,41.2835,-70.0995,52.97,78,72,15.79,broken clouds
227,Dingle,PH,10.9995,122.6711,75.83,91,81,8.55,broken clouds
228,Morant Bay,JM,17.8815,-76.4093,85.62,78,41,8.5,scattered clouds
229,Tyulgan,RU,52.3405,56.166,35.33,91,96,1.03,overcast clouds
230,Labuhan,ID,-6.8844,112.2051,79.93,82,100,9.93,overcast clouds
231,Kahului,US,20.8947,-156.47,84.22,71,40,17.27,scattered clouds
232,Derzhavinsk,KZ,51.1,66.3167,36.1,86,100,11.81,overcast clouds
233,Cathedral City,US,33.7797,-116.4653,95.11,16,1,1.01,clear sky
234,Bichena,ET,10.45,38.2,55.96,47,91,2.21,overcast clouds
235,Darnah,LY,32.767,22.6367,69.42,74,1,4.76,clear sky
236,Zhanaozen,KZ,43.3,52.8,51.6,63,100,5.61,overcast clouds
237,Nang Rong,TH,14.6377,102.7914,72.12,98,100,4.41,overcast clouds
238,Dikson,RU,73.5069,80.5464,3.33,88,100,17.38,overcast clouds
239,Kaniama,CD,-7.5667,24.1833,65.88,96,20,2.3,few clouds
240,Yar-Sale,RU,66.8333,70.8333,14.09,92,100,22.88,light snow
241,Saint Pete Beach,US,27.7253,-82.7412,80.04,59,90,1.01,overcast clouds
242,Hargeysa,SO,9.56,44.065,66.13,54,87,8.66,overcast clouds
243,Lensk,RU,60.7253,114.9278,12.69,95,26,3.36,scattered clouds
244,Ugoofaaru,MV,5.6667,73,81.7,71,99,10.87,overcast clouds
245,Avera,US,33.194,-82.5271,65.08,55,63,12.59,broken clouds
246,Lorengau,PG,-2.0226,147.2712,81.27,80,20,3.18,few clouds
247,Mahebourg,MU,-20.4081,57.7,72.25,94,75,2.3,broken clouds
248,Sorong,ID,-0.8833,131.25,78.01,87,100,4.99,overcast clouds
249,Coihaique,CL,-45.5752,-72.0662,48.81,76,75,8.05,light intensity shower rain
250,Alexandria,EG,31.2156,29.9553,73.87,70,100,4.16,overcast clouds
251,Cabo San Lucas,MX,22.8909,-109.9124,87.62,65,20,10.36,few clouds
252,Qobustan,AZ,40.0824,49.412,53.71,81,100,16.26,overcast clouds
253,Kirov,RU,58.5966,49.6601,28.85,94,100,12.19,snow
254,Fort Nelson,CA,58.8053,-122.7002,38.79,52,20,5.75,few clouds
255,Okha,RU,53.5739,142.9478,32.54,87,34,2.86,scattered clouds
256,Arrifes,PT,37.7667,-25.7,70.23,94,75,19.57,broken clouds
257,Brae,GB,60.3964,-1.353,53.51,91,100,21.47,overcast clouds
258,Rivera,UY,-30.9053,-55.5508,78.98,66,0,8.81,clear sky
259,Xinxiang,CN,35.3089,113.8672,57.31,58,0,4.47,light rain
260,Machilipatnam,IN,16.1667,81.1333,78.85,86,100,8.32,overcast clouds
261,Chokurdakh,RU,70.6333,147.9167,-15.57,98,100,3.38,overcast clouds
262,Ambilobe,MG,-13.2,49.05,74.41,83,27,1.74,scattered clouds
263,Amargosa,BR,-13.0303,-39.6047,71.13,78,6,8.59,clear sky
264,Ribeira Grande,PT,38.5167,-28.7,69.93,93,100,18.37,overcast clouds
265,Clifton Springs,AU,-38.15,144.5667,52.97,82,19,5.99,few clouds
266,Kindu,CD,-2.95,25.95,69.87,98,92,1.54,overcast clouds
267,Saskylakh,RU,71.9167,114.0833,-7.76,96,99,8.12,overcast clouds
268,Baft,IR,29.234,56.6057,52.09,63,88,4.34,overcast clouds
269,Longyearbyen,SJ,78.2186,15.6401,26.44,68,20,14.97,few clouds
270,Maragogi,BR,-9.0122,-35.2225,78.84,61,99,8.72,overcast clouds
271,Korla,CN,41.7597,86.1469,50.16,38,99,6.02,overcast clouds
272,Port Keats,AU,-14.25,129.55,82.4,76,72,3.94,broken clouds
273,Pathein,MM,16.7833,94.7333,75.72,93,96,2.19,overcast clouds
274,Katobu,ID,-4.9408,122.5276,75.13,91,100,2.46,overcast clouds
275,Narsaq,GL,60.9167,-46.05,26.82,79,86,4.38,overcast clouds
276,Mozarlandia,BR,-14.7447,-50.5706,90.66,36,74,4.47,broken clouds
277,Srednekolymsk,RU,67.45,153.6833,2.07,97,100,4.09,light snow
278,Lucapa,AO,-8.4192,20.7447,65.88,97,81,2.77,broken clouds
279,Meulaboh,ID,4.1363,96.1285,75.22,87,100,4.34,moderate rain
280,San Roque,ES,36.2107,-5.3842,68.83,73,75,16.11,broken clouds
281,Mount Gambier,AU,-37.8333,140.7667,47.95,78,78,6.33,broken clouds
282,Gat,IL,31.61,34.7642,74.39,70,100,2.06,overcast clouds
283,Chardara,KZ,41.2547,67.9692,48.54,64,0,6.06,clear sky
284,Oblivskaya,RU,48.5362,42.5014,47.57,73,3,5.77,clear sky
285,Plon,DE,54.1667,10.4167,55.22,86,85,10.63,overcast clouds
286,Methoni,GR,36.8197,21.7049,63.21,62,100,5.5,overcast clouds
287,Sambava,MG,-14.2667,50.1667,72.99,91,100,11.41,light rain
288,Grindavik,IS,63.8424,-22.4338,44.55,87,0,8.05,clear sky
289,Coracora,PE,-15.0333,-73.7833,56.73,61,91,3.42,overcast clouds
290,Rocha,UY,-34.4833,-54.3333,69.06,74,1,13.09,clear sky
291,Bud,US,39.447,-86.1758,61.7,95,100,8.66,light rain
292,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,25,20,25.32,few clouds
293,Feldkirchen An Der Donau,AT,48.3452,14.0513,50.79,78,39,1.14,scattered clouds
294,Merauke,ID,-8.4667,140.3333,79.25,86,100,5.82,overcast clouds
295,Benjamin Constant,BR,-4.3831,-70.0311,87.93,66,20,5.75,few clouds
296,Blairmore,CA,49.6,-114.4353,37.58,100,100,4.61,snow
297,Bethel,US,41.3712,-73.414,54.48,72,75,4,broken clouds
298,Orel-Izumrud,RU,43.4583,39.9244,50.02,87,75,11.01,broken clouds
299,Bell Ville,AR,-32.6259,-62.6887,89.8,16,15,9.31,few clouds
300,Marsa Matruh,EG,31.3525,27.2453,72.12,76,100,3.58,overcast clouds
301,Cap Malheureux,MU,-19.9842,57.6142,72.46,91,47,7.43,light rain
