City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yumen,CN,2021-10-28 21:08:37,40.2833,97.2,38.89,39,51,3.13
68,Andover,GB,2021-10-28 21:08:37,51.2083,-1.4825,60.33,80,100,19.82
69,Novikovo,RU,2021-10-28 21:08:38,51.1537,37.8879,44.37,92,64,8.39
70,Yellowknife,CA,2021-10-28 21:07:16,62.456,-114.3525,36.41,99,100,2.62
71,Khatanga,RU,2021-10-28 21:08:38,71.9667,102.5,-6.07,98,100,10.16
72,Severo-Kurilsk,RU,2021-10-28 21:08:39,50.6789,156.125,42.12,91,100,7.74
73,Makasar,ID,2021-10-28 21:04:10,-5.14,119.4221,73.45,94,20,2.3
74,Pedro Ii,BR,2021-10-28 21:08:39,-4.4247,-41.4586,87.12,26,54,2.08
75,Sefton,NZ,2021-10-28 21:08:39,-43.25,172.6667,59.99,89,85,6.2
76,Vila Velha,BR,2021-10-28 21:08:05,-20.3297,-40.2925,76.95,78,20,8.05
77,Kano,NG,2021-10-28 21:08:40,12.0001,8.5167,81.66,19,57,3.51
78,Caravelas,BR,2021-10-28 21:08:40,-17.7125,-39.2481,74.91,70,6,7.27
79,Hobart,AU,2021-10-28 21:05:28,-42.8794,147.3294,48.06,93,75,5.01
80,Tiksi,RU,2021-10-28 21:07:44,71.6872,128.8694,11.7,95,100,4.83
81,Eyl,SO,2021-10-28 21:08:41,7.9803,49.8164,76.51,70,47,9.75
82,Mar Del Plata,AR,2021-10-28 21:07:19,-38.0023,-57.5575,75.22,83,0,18.01
83,Olafsvik,IS,2021-10-28 21:08:41,64.8945,-23.7142,41.79,91,82,33.15
84,Haines Junction,CA,2021-10-28 21:08:42,60.7522,-137.5108,30.87,77,89,3.49
85,Chapais,CA,2021-10-28 21:08:42,49.7834,-74.8492,45.93,49,0,5.06
86,Mehamn,NO,2021-10-28 21:07:40,71.0357,27.8492,30.11,96,100,14.2
87,Adrar,MR,2021-10-28 21:08:43,20.5022,-10.0711,79.21,38,100,10.63
88,Tuktoyaktuk,CA,2021-10-28 21:08:43,69.4541,-133.0374,28.4,93,90,5.75
89,Saint George,US,2021-10-28 21:07:05,37.1041,-113.5841,77.47,32,1,1.01
90,Neuquen,AR,2021-10-28 21:08:43,-38.9516,-68.0591,89.83,15,0,9.48
91,Tura,IN,2021-10-28 21:08:44,25.5198,90.2201,66.4,90,0,3.8
92,Pacific Grove,US,2021-10-28 21:06:15,36.6177,-121.9166,84.58,50,1,8.05
93,Hithadhoo,MV,2021-10-28 21:08:44,-0.6,73.0833,83.14,74,100,13.49
94,Saint-Philippe,RE,2021-10-28 21:07:50,-21.3585,55.7679,72.99,79,3,7.25
95,Villarrica,PY,2021-10-28 21:09:45,-25.75,-56.4333,84.11,55,0,3.18
96,Darayya,SY,2021-10-28 21:09:45,33.459,36.2374,66.34,42,67,4.07
97,Nyurba,RU,2021-10-28 21:07:04,63.2842,118.3319,21.52,77,100,13.91
98,Asau,RO,2021-10-28 21:09:44,46.4333,26.4,47.75,74,12,2.3
99,Tuatapere,NZ,2021-10-28 21:09:26,-46.1333,167.6833,59.32,74,69,4.9
100,Sawakin,SD,2021-10-28 21:09:46,19.1059,37.3321,84.29,76,8,7.56
101,Chokurdakh,RU,2021-10-28 21:09:46,70.6333,147.9167,-10.37,97,94,4.07
102,Williston,US,2021-10-28 21:06:49,48.147,-103.618,57.92,40,0,5.99
103,Hovd,MN,2021-10-28 21:09:47,48.0056,91.6419,34.32,54,35,4.16
104,Nadym,RU,2021-10-28 21:09:47,65.5333,72.5167,25.79,97,100,13.8
105,Ribeira Grande,PT,2021-10-28 21:08:37,38.5167,-28.7,68.68,87,86,24.11
106,Laguna,US,2021-10-28 21:08:42,38.421,-121.4238,78.12,68,1,1.99
107,Barrow,US,2021-10-28 21:09:48,71.2906,-156.7887,21.22,86,90,13.8
108,Kahului,US,2021-10-28 21:06:57,20.8947,-156.47,84.22,69,40,18.41
109,Broome,US,2021-10-28 21:09:49,42.2506,-75.833,61.84,62,1,4.61
110,La Rioja,ES,2021-10-28 21:09:49,42.25,-2.5,53.04,50,100,7.58
111,Arlit,NE,2021-10-28 21:09:49,18.7369,7.3853,85.19,11,22,8.97
112,Jamestown,US,2021-10-28 21:08:43,42.097,-79.2353,64.04,59,1,8.05
113,Lianzhou,CN,2021-10-28 21:09:50,24.7811,112.3825,63.64,96,92,2.42
114,Nerchinskiy Zavod,RU,2021-10-28 21:09:50,51.3088,119.61,31.41,81,54,2.57
115,Rorvik,NO,2021-10-28 21:09:51,64.8621,11.2373,50.11,100,75,10.36
116,Hilo,US,2021-10-28 21:09:46,19.7297,-155.09,82.13,70,20,11.5
117,Lyuban,BY,2021-10-28 21:09:51,52.7985,28.0048,52.43,92,100,4.21
118,Arraial Do Cabo,BR,2021-10-28 21:07:52,-22.9661,-42.0278,73.26,94,75,14.97
119,Kavieng,PG,2021-10-28 21:07:56,-2.5744,150.7967,83.43,74,74,9.31
120,Atbasar,KZ,2021-10-28 21:09:36,51.8,68.3333,34.93,43,100,16.22
121,Clyde River,CA,2021-10-28 21:08:17,70.4692,-68.5914,29.84,95,100,4.54
122,Gua Musang,MY,2021-10-28 21:08:08,4.8823,101.9644,73.69,99,100,0.72
123,Pisco,PE,2021-10-28 21:09:52,-13.7,-76.2167,68.05,73,0,21.85
124,Bambous Virieux,MU,2021-10-28 21:09:53,-20.3428,57.7575,75.22,76,2,9.93
125,Touros,BR,2021-10-28 21:08:15,-5.1989,-35.4608,79.7,70,72,17.4
126,Belmonte,BR,2021-10-28 21:09:43,-15.8631,-38.8828,77.5,84,6,11.41
127,Acarau,BR,2021-10-28 21:06:11,-2.8856,-40.12,80.74,75,5,17.38
128,Union,US,2021-10-28 21:09:53,40.6334,-74.2663,61.3,71,75,6.91
129,Janow Lubelski,PL,2021-10-28 21:09:54,50.707,22.4104,44.22,72,81,6.98
130,Black River,JM,2021-10-28 21:08:32,18.0264,-77.8487,86.99,72,61,13.4
131,Mount Gambier,AU,2021-10-28 21:09:54,-37.8333,140.7667,48.49,70,100,13.33
132,Calama,CL,2021-10-28 21:09:55,-22.4667,-68.9333,75.69,9,0,18.41
133,Karasuk,RU,2021-10-28 21:09:55,53.7377,78.0403,37.27,42,100,15.5
134,Kodiak,US,2021-10-28 21:06:46,57.79,-152.4072,40.51,52,1,0.0
135,Benjamin Constant,BR,2021-10-28 21:09:55,-4.3831,-70.0311,86.13,65,40,6.91
136,Mahebourg,MU,2021-10-28 21:06:14,-20.4081,57.7,75.25,77,3,9.8
137,Hermanus,ZA,2021-10-28 21:09:15,-34.4187,19.2345,61.9,90,8,7.99
138,Puerto Ayora,EC,2021-10-28 21:08:52,-0.7393,-90.3518,78.76,90,30,5.01
139,Kamphaeng Phet,TH,2021-10-28 21:09:56,16.25,99.5,74.48,92,100,2.33
140,Gusau,NG,2021-10-28 21:10:57,12.1628,6.6614,79.65,26,63,2.06
141,Tual,ID,2021-10-28 21:10:57,-5.6667,132.75,82.62,75,97,2.33
142,Saldanha,ZA,2021-10-28 21:09:42,-33.0117,17.9442,59.25,92,5,12.53
143,Kavaratti,IN,2021-10-28 21:10:58,10.5669,72.642,80.31,79,100,4.07
144,Bouar,CF,2021-10-28 21:10:58,5.934,15.596,66.69,89,14,2.91
145,Jijiga,ET,2021-10-28 21:10:58,9.35,42.8,60.57,32,0,8.88
146,Tamworth,GB,2021-10-28 21:06:08,52.634,-1.6959,57.92,88,100,8.99
147,Leningradskiy,RU,2021-10-28 21:10:59,69.3833,178.4167,4.26,90,100,7.47
148,Geraldton,AU,2021-10-28 21:09:55,-28.7667,114.6,45.01,87,3,5.75
149,Chengde,CN,2021-10-28 21:10:59,40.9725,117.9361,45.7,62,68,0.09
150,Avera,US,2021-10-28 21:11:00,33.194,-82.5271,66.38,99,100,8.3
151,Nenjiang,CN,2021-10-28 21:11:00,49.1833,125.2167,36.63,68,8,7.56
152,Matay,EG,2021-10-28 21:11:01,28.419,30.7792,78.28,33,99,6.89
153,Biltine,TD,2021-10-28 21:11:01,14.5333,20.9167,84.09,16,37,6.33
154,Xining,CN,2021-10-28 21:11:02,36.6167,101.7667,36.48,77,35,0.74
155,Rocha,UY,2021-10-28 21:11:02,-34.4833,-54.3333,72.28,71,0,10.6
156,Mugla,TR,2021-10-28 21:11:03,37.2303,28.3557,48.87,45,0,3.33
157,Castro,BR,2021-10-28 21:08:48,-24.7911,-50.0119,64.83,91,91,10.07
158,Watertown,US,2021-10-28 21:07:21,42.3709,-71.1828,51.4,73,40,1.01
159,Kapaa,US,2021-10-28 21:07:32,22.0752,-159.319,82.38,89,75,3.0
160,Lebu,CL,2021-10-28 21:11:04,-37.6167,-73.65,56.7,81,1,14.61
161,Pevek,RU,2021-10-28 21:11:04,69.7008,170.3133,1.63,95,100,4.76
162,Uglegorsk,RU,2021-10-28 21:11:04,49.0833,142.0333,38.17,79,8,15.23
163,San Buenaventura,MX,2021-10-28 21:11:05,27.0833,-101.5333,79.12,30,0,6.87
164,Bom Jesus,BR,2021-10-28 21:11:05,-9.0744,-44.3586,84.87,32,1,5.5
165,Kenai,US,2021-10-28 21:07:07,60.5544,-151.2583,33.1,90,90,12.66
166,Honiara,SB,2021-10-28 21:11:06,-9.4333,159.95,83.1,73,20,4.52
167,Algiers,DZ,2021-10-28 21:11:06,36.7525,3.042,58.82,82,20,3.44
168,Victoria,HK,2021-10-28 21:08:41,22.2855,114.1577,77.38,88,84,1.99
169,Deputatskiy,RU,2021-10-28 21:10:26,69.3,139.9,4.46,98,100,1.77
170,Lethem,GY,2021-10-28 21:11:07,3.3803,-59.7968,85.95,58,97,5.08
171,Sorland,NO,2021-10-28 21:11:07,67.667,12.6934,48.27,86,100,23.42
172,Bethel,US,2021-10-28 21:07:38,41.3712,-73.414,57.42,70,75,4.61
173,Praia Da Vitoria,PT,2021-10-28 21:11:08,38.7333,-27.0667,68.76,91,100,16.37
174,Daru,PG,2021-10-28 21:11:08,-9.0763,143.2092,80.38,82,100,10.4
175,Marawi,PH,2021-10-28 21:11:09,7.9986,124.2928,65.64,94,23,2.01
176,Lac Du Bonnet,CA,2021-10-28 21:11:09,50.2536,-96.0612,48.58,78,99,7.47
177,Kruisfontein,ZA,2021-10-28 21:11:10,-34.0033,24.7314,69.89,82,100,13.11
178,Zeya,RU,2021-10-28 21:11:10,53.75,127.2667,32.14,88,72,2.75
179,Neiafu,TO,2021-10-28 21:06:13,-18.65,-173.9833,79.48,69,40,11.5
180,Port Hedland,AU,2021-10-28 21:11:10,-20.3167,118.5667,68.05,88,4,6.91
181,Iqaluit,CA,2021-10-28 21:11:11,63.7506,-68.5145,32.52,73,100,4.59
182,Hagere Hiywet,ET,2021-10-28 21:11:11,8.9833,37.85,57.9,44,87,5.59
183,Lata,PT,2021-10-28 21:11:12,40.1629,-8.3327,63.91,74,100,7.81
184,Abu Kamal,SY,2021-10-28 21:11:12,34.4506,40.9171,69.3,31,66,1.28
185,Georgetown,MY,2021-10-28 21:10:28,5.4112,100.3354,78.73,90,20,3.44
186,Sistranda,NO,2021-10-28 21:11:13,63.7256,8.834,52.9,92,100,4.25
187,Kaitangata,NZ,2021-10-28 21:12:13,-46.2817,169.8464,58.68,72,57,5.21
188,Komsomolskiy,UZ,2021-10-28 21:09:28,40.4272,71.7189,48.92,61,99,4.61
189,Winnemucca,US,2021-10-28 21:12:13,40.973,-117.7357,66.25,45,1,5.75
190,Ploemeur,FR,2021-10-28 21:12:14,47.7333,-3.4333,61.86,81,90,18.41
191,Canakkale,TR,2021-10-28 21:10:51,40.0833,26.8333,52.41,71,58,15.73
192,Yeppoon,AU,2021-10-28 21:12:14,-23.1333,150.7333,73.18,72,49,9.95
193,Cabo San Lucas,MX,2021-10-28 21:08:08,22.8909,-109.9124,89.62,59,20,4.0
194,Oranjemund,NA,2021-10-28 21:12:15,-28.55,16.4333,59.79,82,0,5.93
195,Sao Felix Do Xingu,BR,2021-10-28 21:12:15,-6.6447,-51.995,85.53,45,38,2.57
196,Kupang,ID,2021-10-28 21:08:28,-10.1667,123.5833,80.02,83,94,4.88
197,Comodoro Rivadavia,AR,2021-10-28 21:12:16,-45.8667,-67.5,71.46,28,0,16.11
198,Corinto,GR,2021-10-28 21:12:16,37.9407,22.9573,60.69,71,4,6.78
199,Chuy,UY,2021-10-28 21:12:17,-33.6971,-53.4616,70.18,70,0,10.51
200,Portree,GB,2021-10-28 21:12:17,57.4129,-6.1942,51.85,94,79,8.48
201,Klaksvik,FO,2021-10-28 21:07:42,62.2266,-6.589,49.12,88,57,22.08
202,Zaragoza,ES,2021-10-28 21:12:17,41.6561,-0.8773,59.49,70,20,8.01
203,Otane,NZ,2021-10-28 21:12:18,-39.8833,176.6333,59.38,92,100,0.36
204,Provideniya,RU,2021-10-28 21:08:56,64.3833,-173.3,15.91,67,90,8.95
205,Polson,US,2021-10-28 21:12:18,47.6936,-114.1632,49.1,83,100,7.29
206,Gizo,SB,2021-10-28 21:08:07,-8.103,156.8419,83.82,69,42,6.31
207,Paraiso,CR,2021-10-28 21:12:19,9.8383,-83.8656,74.41,90,100,1.79
208,Salamiyah,SY,2021-10-28 21:12:19,35.0113,37.0532,64.98,47,90,7.27
209,Narsaq,GL,2021-10-28 21:12:19,60.9167,-46.05,32.22,69,98,5.23
210,Yulara,AU,2021-10-28 21:12:20,-25.2406,130.9889,59.67,30,61,9.55
211,Westport,US,2021-10-28 21:08:42,41.1415,-73.3579,58.15,70,90,8.99
212,Tessalit,ML,2021-10-28 21:07:23,20.1986,1.0114,84.99,18,97,9.42
213,Salalah,OM,2021-10-28 21:09:29,17.0151,54.0924,78.89,78,75,2.3
214,Mayumba,GA,2021-10-28 21:12:20,-3.432,10.6554,76.84,87,58,6.51
215,Mortka,RU,2021-10-28 21:12:21,59.3322,66.0214,34.43,90,100,12.3
216,Qaanaaq,GL,2021-10-28 21:12:21,77.484,-69.3632,20.7,90,100,7.02
217,Ilulissat,GL,2021-10-28 21:12:22,69.2167,-51.1,26.62,63,75,12.66
218,Mainpuri,IN,2021-10-28 21:12:22,27.2333,79.0167,68.58,55,0,1.1
219,Nanortalik,GL,2021-10-28 21:12:22,60.1432,-45.2371,36.07,72,86,3.71
220,Makarska,HR,2021-10-28 21:12:23,43.2969,17.0178,53.74,55,10,4.07
221,Husavik,IS,2021-10-28 21:07:35,66.0449,-17.3389,39.78,97,100,18.52
222,Qasigiannguit,GL,2021-10-28 21:12:23,68.8193,-51.1922,26.85,85,100,6.82
223,Horsham,GB,2021-10-28 21:12:23,51.064,-0.3272,60.48,80,0,11.5
224,Grindavik,IS,2021-10-28 21:10:14,63.8424,-22.4338,41.47,87,90,19.57
225,Basavakalyan,IN,2021-10-28 21:12:24,17.8667,76.95,65.26,72,32,9.28
226,Aklavik,CA,2021-10-28 21:12:24,68.2191,-135.0107,27.32,94,68,5.01
227,Yar-Sale,RU,2021-10-28 21:10:16,66.8333,70.8333,22.55,96,100,13.44
228,Borger,NL,2021-10-28 21:12:25,52.9233,6.7931,53.44,84,5,11.43
229,Kvareli,GE,2021-10-28 21:12:25,41.9524,45.8151,46.0,50,0,4.27
230,Chicama,PE,2021-10-28 21:12:26,-7.8447,-79.1469,63.14,62,21,9.4
231,Ola,RU,2021-10-28 21:12:26,59.5833,151.2833,24.71,96,85,4.03
232,Teguise,ES,2021-10-28 21:12:27,29.0605,-13.564,66.42,78,20,12.66
233,Milford,US,2021-10-28 21:12:27,41.2223,-73.0565,57.58,69,90,4.0
234,Torbay,CA,2021-10-28 21:13:27,47.6666,-52.7314,39.58,91,90,17.27
235,Florianopolis,BR,2021-10-28 21:13:28,-27.6146,-48.5012,69.26,73,40,8.05
236,Byron Bay,AU,2021-10-28 21:11:42,-28.65,153.6167,75.06,81,100,13.98
237,Thompson,CA,2021-10-28 21:13:28,55.7435,-97.8558,45.86,76,93,8.39
238,Harbour Breton,CA,2021-10-28 21:13:29,47.4833,-55.7983,44.01,73,100,22.35
239,Aripuana,BR,2021-10-28 21:13:29,-9.1667,-60.6333,81.03,76,93,3.22
240,Seeboden,AT,2021-10-28 21:13:29,46.8219,13.495,46.78,72,6,1.59
241,Phan Thiet,VN,2021-10-28 21:12:54,10.9333,108.1,75.6,89,84,4.54
242,Celestun,MX,2021-10-28 21:13:30,20.8667,-90.4,83.46,75,80,17.36
243,Los Llanos De Aridane,ES,2021-10-28 21:11:58,28.6585,-17.9182,65.95,77,0,1.01
